,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,type_wine,Variety
144,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.1,104,33,2017,red,Pinot Noir
145,Spain,Montsant,Capçanes,3.5,104,22,2009,red,blend
146,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4.0,104,17,2016,red,blend
147,Italy,Toscana,Castellare,4.3,104,69,2016,red,blend
148,Spain,Castilla,Finca Los Aljibes,3.4,104,8,2016,red,blend
149,France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,4.4,104,80,2017,red,blend
150,France,Châteauneuf-du-Pape,Pierre Amadieu,4.0,104,26,2015,red,blend
151,Spain,Valdeorras,Viña Costeira,3.2,104,8,2015,red,Mencia
152,France,Santenay,Louis Jadot,4.1,104,32,2016,red,blend
153,Italy,Roero,Negro Angelo,4.1,104,30,2015,red,blend
154,France,Côtes du Roussillon,Domaine Lafage,4.0,104,20,2012,red,blend
155,Italy,Toscana,Castello di Gabbiano,4.1,104,27,2012,red,blend
156,Italy,Valpolicella Ripasso,Santi,3.7,1040,15,2015,red,blend
157,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.8,1040,12,2015,red,blend
158,Portugal,Alentejano,Cortes de Cima,3.6,1040,6,2016,red,blend
159,Italy,Barbera d'Alba,Vietti,3.8,1040,20,2015,red,Barbera
160,Italy,Piemonte,Borgogno,4.0,1041,34,2014,red,blend
161,Spain,Rioja,Franco-Espanolas,3.8,1045,11,2011,red,blend
162,Italy,Brunello di Montalcino,Antinori,4.3,1046,46,2014,red,Brunello
163,Spain,Toro,Teso La Monja,4.0,1046,15,2016,red,blend
164,Portugal,Alentejano,Rapariga da Quinta,3.2,1046,12,2010,red,blend
165,Italy,Sicilia,Barone Montalto,4.2,1047,16,2016,red,blend
166,France,Côtes-du-Rhône,Famille Perrin,3.6,1049,10,2016,red,blend
167,United States,Russian River Valley,DeLoach,3.5,105,18,2015,red,Zinfandel
168,France,Saint-Julien,Château Léoville Las Cases,4.6,105,330,2016,red,blend
169,Other Countries,Other Region,Other Winery,3.2,105,12,2013,red,Limnio
170,France,Pomerol,Château l'Ecuyer,4.2,105,43,2015,red,blend
171,Italy,Valpolicella Classico,Masi,3.7,105,16,2016,red,blend
172,Italy,Cannonau di Sardegna,Gabbas,4.0,105,22,2012,red,blend
173,Spain,Rioja,Bodegas Amaren,4.2,105,16,2015,red,Graciano
174,Italy,Piemonte,Serre dei Roveri,3.3,105,6,2018,red,Barbera
175,Italy,Amarone della Valpolicella,Zýmē,4.5,105,97,2006,red,blend
176,Spain,Jumilla,Bleda,3.5,105,5,2018,red,Monastrell - Tempranillo
177,France,Lirac,Domaine Coudoulis,3.9,105,19,2016,red,blend
178,Italy,Toscana,Tenuta di Sesta,3.6,105,13,2014,red,blend
179,Spain,Penedès,Jean Leon,4.0,105,26,2013,red,Cabernet Sauvignon
180,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.8,105,33,2014,red,Brunello
181,Italy,Bolgheri Superiore,Aia Vecchia,4.3,105,24,2017,red,blend
182,Spain,Binissalem-Mallorca,Tianna Negre,3.8,105,11,2018,red,blend
183,Austria,Wachau,Domäne Wachau,3.7,105,10,2018,red,Zweigelt
184,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,105,16,2018,red,blend
185,United States,Arroyo Seco,Wente,3.9,105,24,2017,red,Pinot Noir
186,Spain,Rioja,Altos de Rioja,3.4,105,7,2017,red,Tempranillo
187,Italy,Amarone della Valpolicella Classico,Zenato,4.2,105,44,2016,red,blend
188,Italy,Toscana,Petra,3.9,105,40,2015,red,blend
189,Italy,Salento,Rocca,3.6,105,7,2017,red,blend
190,Italy,Toscana,Vallepicciola,4.1,105,15,2016,red,blend
191,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,1050,36,2013,red,Brunello
192,Australia,Barossa Valley,Peter Lehmann,3.8,1051,16,2017,red,Shiraz
193,Italy,Terre Siciliane,Colosi,3.8,1055,9,2017,red,Nero d'Avola
194,France,Bordeaux,Jean-Pierre Moueix,3.5,1056,10,2015,red,blend
195,United States,California,Woodbridge by Robert Mondavi,3.4,1056,9,2018,red,Cabernet Sauvignon
196,Portugal,Lisboa,Porta 6,3.7,1056,9,2018,red,blend
197,South Africa,Stellenbosch,De Toren,4.1,1056,14,2023,red,blend
198,Italy,Irpinia,Feudi di San Gregorio,3.5,1057,11,2014,red,Aglianico
199,Chile,Central Valley,Apaltagua,3.4,1059,7,2018,red,Cabernet Sauvignon
200,United States,Columbia Valley,Columbia Crest,3.7,1059,12,2015,red,Merlot
